clip_id,subject_id,video_filename,class,hand,distance_m,start_frame,end_frame,frame_count,body_weight_kg,peak_force_N,peak_speed_mps,peak_accel_g,n_imu_samples
s01_cross_1m_left_c001,subject01,cross_1m_left.mp4,cross,left,1,111,131,21,58.0,170.97645880094888,3.673519747148611,13.065062178463434,200
s01_cross_1m_left_c002,subject01,cross_1m_left.mp4,cross,left,1,158,177,20,58.0,147.83751320011086,4.790030490427632,11.296913714405095,193
s01_cross_1m_left_c003,subject01,cross_1m_left.mp4,cross,left,1,204,223,20,58.0,203.5121352059799,3.759763105192916,15.551256115518683,193
s01_cross_1m_left_c004,subject01,cross_1m_left.mp4,cross,left,1,253,272,20,58.0,155.00026960048976,4.563416141883851,11.844251391161432,194
s01_cross_1m_left_c005,subject01,cross_1m_left.mp4,cross,left,1,301,319,19,58.0,151.2578944972941,3.8961946125676317,11.558280072295204,187
s01_cross_1m_left_c006,subject01,cross_1m_left.mp4,cross,left,1,351,369,19,58.0,142.97778178835222,3.60429691391102,10.925560292357812,187
s01_cross_1m_left_c007,subject01,cross_1m_left.mp4,cross,left,1,398,417,20,58.0,171.08524788431026,4.280736849478226,13.073375230145649,194
s01_cross_1m_left_c008,subject01,cross_1m_left.mp4,cross,left,1,447,466,20,58.0,136.9824944395743,4.249467535000835,10.467434053582863,193
s01_cross_1m_left_c009,subject01,cross_1m_left.mp4,cross,left,1,503,520,18,58.0,143.7800529708607,4.109638697292259,10.986865357142584,180
s01_cross_1m_left_c010,subject01,cross_1m_left.mp4,cross,left,1,552,571,20,58.0,191.13851858717584,4.3918168606169345,14.60573372237244,193
s01_cross_1m_right_c001,subject01,cross_1m_right.mp4,cross,right,1,155,174,20,58.0,190.67012213231757,3.7987138541599887,14.569941491969425,193
s01_cross_1m_right_c002,subject01,cross_1m_right.mp4,cross,right,1,199,218,20,58.0,215.11079786178973,4.257056573238988,16.437560872605722,194
s01_cross_1m_right_c003,subject01,cross_1m_right.mp4,cross,right,1,247,265,19,58.0,199.42603686977034,3.8758547751510823,15.239019394719332,186
s01_cross_1m_right_c004,subject01,cross_1m_right.mp4,cross,right,1,292,310,19,58.0,174.57222196167942,4.195800252934751,13.33983023485806,187
s01_cross_1m_right_c005,subject01,cross_1m_right.mp4,cross,right,1,338,357,20,58.0,163.62346714919698,3.8547188763550015,12.503187790599881,193
s01_cross_1m_right_c006,subject01,cross_1m_right.mp4,cross,right,1,386,405,20,58.0,232.19950581447543,4.488272442752644,17.743384104161635,194
s01_cross_1m_right_c007,subject01,cross_1m_right.mp4,cross,right,1,434,452,19,58.0,220.81663444365458,4.236753165870224,16.87356890695742,187
s01_cross_1m_right_c008,subject01,cross_1m_right.mp4,cross,right,1,484,503,20,58.0,216.46792520753442,3.9200232088299716,16.54126493385833,194
s01_cross_1m_right_c009,subject01,cross_1m_right.mp4,cross,right,1,534,553,20,58.0,216.89641409403916,4.181915025702825,16.574007651681736,193
s01_cross_1m_right_c010,subject01,cross_1m_right.mp4,cross,right,1,585,603,19,58.0,195.9741841301319,4.150420166787237,14.975248165682592,186
s01_cross_2m_left_c001,subject01,cross_2m_left.mp4,cross,left,2,153,172,20,58.0,163.21145943695328,4.295553252965239,12.471704471690243,194
s01_cross_2m_left_c002,subject01,cross_2m_left.mp4,cross,left,2,203,221,19,58.0,151.99909124861273,4.331150248861632,11.614918171542111,187
s01_cross_2m_left_c003,subject01,cross_2m_left.mp4,cross,left,2,253,271,19,58.0,151.2485057816438,4.328682542256814,11.55756263929532,186
s01_cross_2m_left_c004,subject01,cross_2m_left.mp4,cross,left,2,303,320,18,58.0,164.23529469795997,4.1837248207209905,12.549940220865098,180
s01_cross_2m_left_c005,subject01,cross_2m_left.mp4,cross,left,2,354,373,20,58.0,142.19837825072838,4.435356079164242,10.866002644757772,193
